  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Penumbral   Aug 23 2022 09:51:14.894559000   Aug 23 2022 10:27:02.238309000      35.789062500
Earth Umbral      Aug 23 2022 09:51:23.419949625   Aug 23 2022 10:26:53.625027750      35.503417969
Earth Penumbral   Aug 23 2022 11:24:08.478543375   Aug 23 2022 11:59:56.613309000      35.802246094
Earth Umbral      Aug 23 2022 11:24:17.003934000   Aug 23 2022 11:59:48.087918375      35.518066406
Earth Penumbral   Aug 23 2022 12:57:01.974637125   Aug 23 2022 13:32:50.900418375      35.815429688
Earth Umbral      Aug 23 2022 12:57:10.587918375   Aug 23 2022 13:32:42.375027750      35.529785156
Earth Penumbral   Aug 23 2022 14:29:55.558621500   Aug 23 2022 15:05:45.275418375      35.828613281
Earth Umbral      Aug 23 2022 14:30:04.084012125   Aug 23 2022 15:05:36.750027750      35.544433594
Earth Penumbral   Aug 23 2022 16:02:49.054715250   Aug 23 2022 16:38:39.562527750      35.841796875
Earth Umbral      Aug 23 2022 16:02:57.580105875   Aug 23 2022 16:38:31.037137125      35.557617188
Earth Umbral      Aug 23 2022 17:35:51.164090250   Aug 23 2022 18:11:25.324246500      35.569335938
Earth Penumbral   Aug 23 2022 17:35:42.638699625   Aug 23 2022 18:11:33.849637125      35.853515625
Earth Umbral      Aug 23 2022 19:08:44.660184000   Aug 23 2022 19:44:19.611355875      35.582519531
Earth Penumbral   Aug 23 2022 19:08:36.134793375   Aug 23 2022 19:44:28.136746500      35.866699219
Earth Penumbral   Aug 23 2022 20:41:29.630887125   Aug 23 2022 21:17:22.335965250      35.878417969
Earth Umbral      Aug 23 2022 20:41:38.156277750   Aug 23 2022 21:17:13.810574625      35.594238281
Earth Penumbral   Aug 23 2022 22:14:23.126980875   Aug 23 2022 22:50:16.535184000      35.890136719
Earth Umbral      Aug 23 2022 22:14:31.652371500   Aug 23 2022 22:50:08.097684000      35.607421875
Earth Penumbral   Aug 23 2022 23:47:16.710965250   Aug 24 2022 00:23:10.734402750      35.900390625
Earth Umbral      Aug 23 2022 23:47:25.148465250   Aug 24 2022 00:23:02.296902750      35.619140625
Earth Penumbral   Aug 24 2022 01:20:10.119168375   Aug 24 2022 01:56:04.845730875      35.912109375
Earth Umbral      Aug 24 2022 01:20:18.556668375   Aug 24 2022 01:55:56.408230875      35.630859375
Earth Penumbral   Aug 24 2022 02:53:03.439480875   Aug 24 2022 03:28:58.869168375      35.923828125
Earth Umbral      Aug 24 2022 02:53:11.876980875   Aug 24 2022 03:28:50.431668375      35.642578125
Earth Penumbral   Aug 24 2022 04:25:56.759793375   Aug 24 2022 05:01:52.892605875      35.935546875
Earth Umbral      Aug 24 2022 04:26:05.197293375   Aug 24 2022 05:01:44.455105875      35.654296875
Earth Penumbral   Aug 24 2022 05:58:49.992215250   Aug 24 2022 06:34:46.828152750      35.947265625
Earth Umbral      Aug 24 2022 05:58:58.429715250   Aug 24 2022 06:34:38.390652750      35.666015625
Earth Penumbral   Aug 24 2022 07:31:43.400418375   Aug 24 2022 08:07:40.939480875      35.958984375
Earth Umbral      Aug 24 2022 07:31:51.837918375   Aug 24 2022 08:07:32.501980875      35.677734375
Earth Penumbral   Aug 24 2022 09:04:36.808621500   Aug 24 2022 09:40:34.962918375      35.969238281
Earth Umbral      Aug 24 2022 09:04:45.246121500   Aug 24 2022 09:40:26.613309000      35.689453125
Earth Penumbral   Aug 24 2022 10:37:30.128934000   Aug 24 2022 11:13:28.986355875      35.980957031
Earth Umbral      Aug 24 2022 10:37:38.566434000   Aug 24 2022 11:13:20.548855875      35.699707031
Earth Penumbral   Aug 24 2022 12:10:23.361355875   Aug 24 2022 12:46:22.834012125      35.991210938
Earth Umbral      Aug 24 2022 12:10:31.798855875   Aug 24 2022 12:46:14.396512125      35.709960938
Earth Penumbral   Aug 24 2022 13:43:16.593777750   Aug 24 2022 14:19:16.593777750      36.000000000
Earth Umbral      Aug 24 2022 13:43:25.031277750   Aug 24 2022 14:19:08.244168375      35.720214844
Earth Penumbral   Aug 24 2022 15:16:09.914090250   Aug 24 2022 15:52:10.441434000      36.008789063
Earth Umbral      Aug 24 2022 15:16:18.263699625   Aug 24 2022 15:52:02.091824625      35.730468750
Earth Umbral      Aug 24 2022 16:49:11.496121500   Aug 24 2022 17:24:55.939480875      35.740722656
Earth Penumbral   Aug 24 2022 16:49:03.146512125   Aug 24 2022 17:25:04.289090250      36.019042969
Earth Umbral      Aug 24 2022 18:22:04.728543375   Aug 24 2022 18:57:49.787137125      35.750976563
Earth Penumbral   Aug 24 2022 18:21:56.378934000   Aug 24 2022 18:57:58.136746500      36.029296875
Earth Penumbral   Aug 24 2022 19:54:49.611355875   Aug 24 2022 20:30:51.808621500      36.036621094
Earth Umbral      Aug 24 2022 19:54:57.960965250   Aug 24 2022 20:30:43.546902750      35.759765625
Earth Penumbral   Aug 24 2022 21:27:42.843777750   Aug 24 2022 22:03:45.568387125      36.045410156
Earth Umbral      Aug 24 2022 21:27:51.193387125   Aug 24 2022 22:03:37.218777750      35.767089844
Earth Penumbral   Aug 24 2022 23:00:36.076199625   Aug 24 2022 23:36:39.328152750      36.054199219
Earth Umbral      Aug 24 2022 23:00:44.425809000   Aug 24 2022 23:36:30.978543375      35.775878906
Earth Penumbral   Aug 25 2022 00:33:29.308621500   Aug 25 2022 01:09:33.000027750      36.061523438
Earth Umbral      Aug 25 2022 00:33:37.658230875   Aug 25 2022 01:09:24.738309000      35.784667969
Earth Penumbral   Aug 25 2022 02:06:22.365262125   Aug 25 2022 02:42:26.584012125      36.070312500
Earth Umbral      Aug 25 2022 02:06:30.714871500   Aug 25 2022 02:42:18.322293375      35.793457031
Earth Penumbral   Aug 25 2022 03:39:15.421902750   Aug 25 2022 04:15:20.167996500      36.079101563
Earth Umbral      Aug 25 2022 03:39:23.771512125   Aug 25 2022 04:15:11.818387125      35.800781250
Earth Penumbral   Aug 25 2022 05:12:08.478543375   Aug 25 2022 05:48:13.664090250      36.086425781
Earth Umbral      Aug 25 2022 05:12:16.740262125   Aug 25 2022 05:48:05.314480875      35.809570313
Earth Penumbral   Aug 25 2022 06:45:01.535184000   Aug 25 2022 07:21:07.248074625      36.095214844
Earth Umbral      Aug 25 2022 06:45:09.884793375   Aug 25 2022 07:20:58.986355875      35.818359375
Earth Penumbral   Aug 25 2022 08:17:54.767605875   Aug 25 2022 08:54:00.919949625      36.102539063
Earth Umbral      Aug 25 2022 08:18:03.029324625   Aug 25 2022 08:53:52.570340250      35.825683594
Earth Penumbral   Aug 25 2022 09:50:47.824246500   Aug 25 2022 10:26:54.416043375      36.109863281
Earth Umbral      Aug 25 2022 09:50:56.173855875   Aug 25 2022 10:26:46.154324625      35.833007813
Earth Penumbral   Aug 25 2022 11:23:40.880887125   Aug 25 2022 11:59:47.912137125      36.117187500
Earth Umbral      Aug 25 2022 11:23:49.142605875   Aug 25 2022 11:59:39.650418375      35.841796875
Earth Penumbral   Aug 25 2022 12:56:33.849637125   Aug 25 2022 13:32:41.232449625      36.123046875
Earth Umbral      Aug 25 2022 12:56:42.111355875   Aug 25 2022 13:32:32.970730875      35.847656250
Earth Umbral      Aug 25 2022 14:29:35.167996500   Aug 25 2022 15:05:26.378934000      35.853515625
Earth Penumbral   Aug 25 2022 14:29:26.818387125   Aug 25 2022 15:05:34.640652750      36.130371094
